"type","no_of_genes","score","query"
"recall","2",0.48314606741573,"AND query"
"precision, tissue","2",0.749128919860627,"AND query"
"recall, tissue","2",0.48314606741573,"AND query"
"precision","3",0.84180790960452,"AND query"
"recall","3",0.334831460674157,"AND query"
"precision, tissue","3",0.84180790960452,"AND query"
"recall, tissue","3",0.334831460674157,"AND query"
"precision","4",0.965217391304348,"AND query"
"recall","4",0.249438202247191,"AND query"
"precision, tissue","4",0.965217391304348,"AND query"
"recall, tissue","4",0.249438202247191,"AND query"
"precision","5",0.985294117647059,"AND query"
"recall","5",0.150561797752809,"AND query"
"precision, tissue","5",0.985294117647059,"AND query"
"recall, tissue","5",0.150561797752809,"AND query"
"precision","1",0.676567656765677,"AND query"
"recall","1",0.897155361050328,"AND query"
"precision, tissue","1",0.969267139479905,"AND query"
"recall, tissue","1",0.897155361050328,"AND query"
"precision","2",0.965936739659367,"AND query"
"recall","2",0.579139314369074,"AND query"
"precision, tissue","2",0.973039215686274,"AND query"
"recall, tissue","2",0.579139314369074,"AND query"
"precision","3",0.975886524822695,"AND query"
"recall","3",0.5018234865062,"AND query"
"precision, tissue","3",0.977272727272727,"AND query"
"recall, tissue","3",0.5018234865062,"AND query"
"precision","4",0.978428351309707,"AND query"
"recall","4",0.463165572574763,"AND query"
"precision, tissue","4",0.979938271604938,"AND query"
"recall, tissue","4",0.463165572574763,"AND query"
"precision","5",0.980851063829787,"AND query"
"recall","5",0.336250911743253,"AND query"
"precision, tissue","5",0.980851063829787,"AND query"
"recall, tissue","5",0.336250911743253,"AND query"
"precision","1",0.0479338842975207,"AND query"
"recall","1",0.644444444444444,"AND query"
"precision, tissue","1",0.0757180156657963,"AND query"
"recall, tissue","1",0.644444444444444,"AND query"
"precision","2",0.0967741935483871,"AND query"
"recall","2",0.4,"AND query"
"precision, tissue","2",0.0978260869565217,"AND query"
"recall, tissue","2",0.4,"AND query"
"precision","3",0.272727272727273,"AND query"
"recall","3",0.2,"AND query"
"precision, tissue","3",0.272727272727273,"AND query"
"recall, tissue","3",0.2,"AND query"
"precision","4",0.333333333333333,"AND query"
"recall","4",0.177777777777778,"AND query"
"precision, tissue","4",0.333333333333333,"AND query"
"recall, tissue","4",0.177777777777778,"AND query"
"precision","5",0.25,"AND query"
"recall","5",0.0444444444444444,"AND query"
"precision, tissue","5",0.25,"AND query"
"recall, tissue","5",0.0444444444444444,"AND query"
"precision","1",0.376766091051805,"AND query"
"recall","1",0.581583198707593,"AND query"
"precision, tissue","1",0.993103448275862,"AND query"
"recall, tissue","1",0.581583198707593,"AND query"
"precision","2",0.471552555448409,"AND query"
"recall","2",0.394991922455574,"AND query"
"precision, tissue","2",0.997959183673469,"AND query"
"recall, tissue","2",0.394991922455574,"AND query"
"precision","3",0.480412371134021,"AND query"
"recall","3",0.376413570274637,"AND query"
"precision, tissue","3",0.997858672376874,"AND query"
"recall, tissue","3",0.376413570274637,"AND query"
"precision","4",0.483660130718954,"AND query"
"recall","4",0.298869143780291,"AND query"
"precision, tissue","4",0.997304582210243,"AND query"
"recall, tissue","4",0.298869143780291,"AND query"
"precision","5",0.484593837535014,"AND query"
"recall","5",0.279483037156704,"AND query"
"precision, tissue","5",0.997118155619596,"AND query"
"recall, tissue","5",0.279483037156704,"AND query"
"precision","1",0.058252427184466,"AND query"
"recall","1",0.125,"AND query"
"precision, tissue","1",1,"AND query"
"recall, tissue","1",0.125,"AND query"
"precision","2",1,"AND query"
"recall","2",0.0416666666666667,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.0416666666666667,"AND query"
"precision","3",1,"AND query"
"recall","3",0.0416666666666667,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.0416666666666667,"AND query"
"precision","1",0.137628111273792,"AND query"
"recall","1",0.933002481389578,"AND query"
"precision, tissue","1",0.912621359223301,"AND query"
"recall, tissue","1",0.933002481389578,"AND query"
"precision","2",0.240936555891239,"AND query"
"recall","2",0.791563275434243,"AND query"
"precision, tissue","2",0.987616099071207,"AND query"
"recall, tissue","2",0.791563275434243,"AND query"
"precision","3",0.371134020618557,"AND query"
"recall","3",0.178660049627792,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.178660049627792,"AND query"
"precision","4",0.401709401709402,"AND query"
"recall","4",0.116625310173697,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.116625310173697,"AND query"
"precision","5",0.328358208955224,"AND query"
"recall","5",0.054590570719603,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.054590570719603,"AND query"
"precision","1",0.0909090909090909,"AND query"
"recall","1",0.0606060606060606,"AND query"
"precision, tissue","1",1,"AND query"
"recall, tissue","1",0.0606060606060606,"AND query"
"precision","1",0.489655172413793,"AND query"
"recall","1",0.9656,"AND query"
"precision, tissue","1",0.996696944673823,"AND query"
"recall, tissue","1",0.9656,"AND query"
"precision","2",0.647482014388489,"AND query"
"recall","2",0.576,"AND query"
"precision, tissue","2",0.995850622406639,"AND query"
"recall, tissue","2",0.576,"AND query"
"precision","3",0.897988505747126,"AND query"
"recall","3",0.5,"AND query"
"precision, tissue","3",0.995222929936306,"AND query"
"recall, tissue","3",0.5,"AND query"
"precision","4",0.95021645021645,"AND query"
"recall","4",0.3512,"AND query"
"precision, tissue","4",0.997727272727273,"AND query"
"recall, tissue","4",0.3512,"AND query"
"precision","5",0.947488584474886,"AND query"
"recall","5",0.332,"AND query"
"precision, tissue","5",0.997596153846154,"AND query"
"recall, tissue","5",0.332,"AND query"
"precision","1",0.599143206854345,"AND query"
"recall","1",0.947725072604066,"AND query"
"precision, tissue","1",0.740544629349471,"AND query"
"recall, tissue","1",0.947725072604066,"AND query"
"precision","2",0.738589211618257,"AND query"
"recall","2",0.861568247821878,"AND query"
"precision, tissue","2",0.751054852320675,"AND query"
"recall, tissue","2",0.861568247821878,"AND query"
"precision","3",0.753228120516499,"AND query"
"recall","3",0.508228460793804,"AND query"
"precision, tissue","3",0.754310344827586,"AND query"
"recall, tissue","3",0.508228460793804,"AND query"
"precision","4",0.79874213836478,"AND query"
"recall","4",0.368828654404647,"AND query"
"precision, tissue","4",0.79874213836478,"AND query"
"recall, tissue","4",0.368828654404647,"AND query"
"precision","5",0.797441364605544,"AND query"
"recall","5",0.362052274927396,"AND query"
"precision, tissue","5",0.797441364605544,"AND query"
"recall, tissue","5",0.362052274927396,"AND query"
"precision","1",0.36075205640423,"AND query"
"recall","1",0.850415512465374,"AND query"
"precision, tissue","1",0.478193146417445,"AND query"
"recall, tissue","1",0.850415512465374,"AND query"
"precision","2",0.748878923766816,"AND query"
"recall","2",0.462603878116344,"AND query"
"precision, tissue","2",0.755656108597285,"AND query"
"recall, tissue","2",0.462603878116344,"AND query"
"precision","3",0.796296296296296,"AND query"
"recall","3",0.238227146814404,"AND query"
"precision, tissue","3",0.796296296296296,"AND query"
"recall, tissue","3",0.238227146814404,"AND query"
"precision","4",0.8,"AND query"
"recall","4",0.232686980609418,"AND query"
"precision, tissue","4",0.8,"AND query"
"recall, tissue","4",0.232686980609418,"AND query"
"precision","5",0.71830985915493,"AND query"
"recall","5",0.141274238227147,"AND query"
"precision, tissue","5",0.71830985915493,"AND query"
"recall, tissue","5",0.141274238227147,"AND query"
"precision","1",0.111111111111111,"AND query"
"recall","1",0.0606060606060606,"AND query"
"precision, tissue","1",1,"AND query"
"recall, tissue","1",0.0606060606060606,"AND query"
"precision","1",0.247863247863248,"AND query"
"recall","1",0.453125,"AND query"
"precision, tissue","1",0.840579710144927,"AND query"
"recall, tissue","1",0.453125,"AND query"
"precision","2",0.540983606557377,"AND query"
"recall","2",0.2578125,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.2578125,"AND query"
"precision","3",0.46875,"AND query"
"recall","3",0.1171875,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.1171875,"AND query"
"precision","1",0.115044247787611,"AND query"
"recall","1",0.112068965517241,"AND query"
"precision, tissue","1",0.928571428571429,"AND query"
"recall, tissue","1",0.112068965517241,"AND query"
"precision","2",0,"AND query"
"recall","2",0,"AND query"
"precision, tissue","2",NA,"AND query"
"recall, tissue","2",0,"AND query"
"precision","1",0.46684350132626,"AND query"
"recall","1",0.309314586994728,"AND query"
"precision, tissue","1",0.961748633879781,"AND query"
"recall, tissue","1",0.309314586994728,"AND query"
"precision","2",0.93984962406015,"AND query"
"recall","2",0.219683655536028,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.219683655536028,"AND query"
"precision","3",0.933333333333333,"AND query"
"recall","3",0.172231985940246,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.172231985940246,"AND query"
"precision","4",0.939024390243902,"AND query"
"recall","4",0.135325131810193,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.135325131810193,"AND query"
"precision","5",0.949367088607595,"AND query"
"recall","5",0.131810193321617,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.131810193321617,"AND query"
"precision","1",0.133815551537071,"OR query"
"recall","1",0.747474747474748,"OR query"
"precision, tissue","1",0.22289156626506,"OR query"
"recall, tissue","1",0.747474747474748,"OR query"
"precision","2",0.120115774240232,"OR query"
"recall","2",0.838383838383838,"OR query"
"precision, tissue","2",0.187782805429864,"OR query"
"recall, tissue","2",0.838383838383838,"OR query"
"precision","3",0.101635514018692,"OR query"
"recall","3",0.878787878787879,"OR query"
"precision, tissue","3",0.180124223602484,"OR query"
"recall, tissue","3",0.878787878787879,"OR query"
"precision","4",0.0769828926905132,"OR query"
"recall","4",1,"OR query"
"precision, tissue","4",0.158653846153846,"OR query"
"recall, tissue","4",1,"OR query"
"precision","5",0.066577000672495,"OR query"
"recall","5",1,"OR query"
"precision, tissue","5",0.15615141955836,"OR query"
"recall, tissue","5",1,"OR query"
"precision","1",0.659159159159159,"OR query"
"recall","1",0.825187969924812,"OR query"
"precision, tissue","1",0.95021645021645,"OR query"
"recall, tissue","1",0.825187969924812,"OR query"
"precision","2",0.516129032258065,"OR query"
"recall","2",0.902255639097744,"OR query"
"precision, tissue","2",0.919540229885057,"OR query"
"recall, tissue","2",0.902255639097744,"OR query"
"precision","3",0.404666130329847,"OR query"
"recall","3",0.945488721804511,"OR query"
"precision, tissue","3",0.858361774744027,"OR query"
"recall, tissue","3",0.945488721804511,"OR query"
"precision","4",0.33015873015873,"OR query"
"recall","4",0.977443609022556,"OR query"
"precision, tissue","4",0.8125,"OR query"
"recall, tissue","4",0.977443609022556,"OR query"
"precision","5",0.280258203335126,"OR query"
"recall","5",0.979323308270677,"OR query"
"precision, tissue","5",0.789393939393939,"OR query"
"recall, tissue","5",0.979323308270677,"OR query"
"precision","1",0.7996632996633,"OR query"
"recall","1",0.724085365853659,"OR query"
"precision, tissue","1",0.979381443298969,"OR query"
"recall, tissue","1",0.724085365853659,"OR query"
"precision","2",0.56078431372549,"OR query"
"recall","2",0.871951219512195,"OR query"
"precision, tissue","2",0.981132075471698,"OR query"
"recall, tissue","2",0.871951219512195,"OR query"
"precision","3",0.524875621890547,"OR query"
"recall","3",0.964939024390244,"OR query"
"precision, tissue","3",0.978361669242658,"OR query"
"recall, tissue","3",0.964939024390244,"OR query"
"precision","4",0.451544943820225,"OR query"
"recall","4",0.980182926829268,"OR query"
"precision, tissue","4",0.97869101978691,"OR query"
"recall, tissue","4",0.980182926829268,"OR query"
"precision","5",0.25477955520874,"OR query"
"recall","5",0.995426829268293,"OR query"
"precision, tissue","5",0.974626865671642,"OR query"
"recall, tissue","5",0.995426829268293,"OR query"
"precision","1",0.0338983050847458,"OR query"
"recall","1",0.166666666666667,"OR query"
"precision, tissue","1",0.666666666666667,"OR query"
"recall, tissue","1",0.166666666666667,"OR query"
"precision","2",0.0382513661202186,"OR query"
"recall","2",0.194444444444444,"OR query"
"precision, tissue","2",0.7,"OR query"
"recall, tissue","2",0.194444444444444,"OR query"
"precision","3",0.0418848167539267,"OR query"
"recall","3",0.222222222222222,"OR query"
"precision, tissue","3",0.615384615384615,"OR query"
"recall, tissue","3",0.222222222222222,"OR query"
"precision","4",0.0358565737051793,"OR query"
"recall","4",0.25,"OR query"
"precision, tissue","4",0.529411764705882,"OR query"
"recall, tissue","4",0.25,"OR query"
"precision","5",0.0378787878787879,"OR query"
"recall","5",0.277777777777778,"OR query"
"precision, tissue","5",0.526315789473684,"OR query"
"recall, tissue","5",0.277777777777778,"OR query"
"precision","1",0.836100131752306,"OR query"
"recall","1",0.732963732963733,"OR query"
"precision, tissue","1",0.99874095058231,"OR query"
"recall, tissue","1",0.732963732963733,"OR query"
"precision","2",0.57671177810532,"OR query"
"recall","2",0.994224994224994,"OR query"
"precision, tissue","2",0.994454713493531,"OR query"
"recall, tissue","2",0.994224994224994,"OR query"
"precision","3",0.508608490566038,"OR query"
"recall","3",0.996303996303996,"OR query"
"precision, tissue","3",0.994236975564776,"OR query"
"recall, tissue","3",0.996303996303996,"OR query"
"precision","4",0.415433403805497,"OR query"
"recall","4",0.998613998613999,"OR query"
"precision, tissue","4",0.994021614164176,"OR query"
"recall, tissue","4",0.998613998613999,"OR query"
"precision","5",0.369225514473572,"OR query"
"recall","5",0.998844998844999,"OR query"
"precision, tissue","5",0.994022988505747,"OR query"
"recall, tissue","5",0.998844998844999,"OR query"
"precision","1",0.565972222222222,"OR query"
"recall","1",0.80893300248139,"OR query"
"precision, tissue","1",0.698072805139186,"OR query"
"recall, tissue","1",0.80893300248139,"OR query"
"precision","2",0.483660130718954,"OR query"
"recall","2",0.918114143920596,"OR query"
